Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3579par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3579par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2505392.0	375.8 Mbp	0.0	150.0	51.0	7.309290155617535	150.0	pass	pass	pass	warn	warn	warn	pass	fail	warn	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3580par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3580par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	635030.0	95.2 Mbp	0.0	150.0	52.0	9.06933530699337	150.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3580par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3580par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	635030.0	95.2 Mbp	0.0	150.0	52.0	8.542588539124136	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3581par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3581par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	6040529.0	906 Mbp	0.0	150.0	50.0	5.358332573440837	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3581par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3581par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	6040529.0	906 Mbp	0.0	150.0	50.0	4.817633299097884	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3582par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3582par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1149426.0	172.4 Mbp	0.0	150.0	51.0	7.20611853220651	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3582par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3582par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1149426.0	172.4 Mbp	0.0	150.0	51.0	6.891613727199489	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3583par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3583par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2289767.0	343.4 Mbp	0.0	150.0	50.0	9.95769569335788	150.0	pass	pass	pass	warn	warn	warn	pass	fail	warn	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3583par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3583par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2289767.0	343.4 Mbp	0.0	150.0	50.0	8.939626677012354	150.0	pass	pass	pass	warn	warn	warn	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3584par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3584par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1340493.0	201 Mbp	0.0	150.0	53.0	7.481177021299852	150.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3584par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3584par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1340493.0	201 Mbp	0.0	150.0	52.0	6.778476277011518	150.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3585par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3585par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2431578.0	364.7 Mbp	0.0	150.0	52.0	6.57598221328433	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3585par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3585par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2431578.0	364.7 Mbp	0.0	150.0	52.0	6.094223655996853	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
